id,code,headline,keywords,orderable,options,ship-weight,taxable,merchant-category,availability,page-title,product-url,family,price,upc,google-base-product-type,description,path,gift-certificate,label,manufacturer-part-number,caption,isbn,name,abstract,condition,sale-price,brand
100gift,"100gift",,"forwright stuff 100 gift certificate, 100 gift certificates online shopping, 100 gift daily living aids, 100 gifts, the disabled, handicapped, elderly, seniors, physically impaired",Yes,,,No,"Gift Certificates","Usually ships the next business day","The Wright Stuff Gift Certificates :: $100.00 Gift Certificate","http://www.wrightstuff.biz/makinglifeeasier/100gift.html",,100,,"personal care","The Wright Stuff $100.00 Gift Certificates online shopping code for daily living aids. Gift certificates for daily living aids for the disabled, gifts for handicapped, gifts for elderly, gifts for physically impaired.","Gift Certificates",Yes,,,"The <b>Wright Stuff $100.00 Gift Certificates</b> are convenient and practical gifts for friends and family. Paying extra for rush postage or worrying that your gift may arrive late will not be a factor because gift certificates are delivered via email once the payer information is verified. Gift certificates may be used toward the purchase of any item in our product selection simply by visiting our website. The code is used for payment for purchasing items online. 
<br><br>
Please allow for one business day for verification.
<br><br>
*The Wright Stuff $100.00 Gift Certificates are not redeemable in cash and expire after 6 months.",,"$100 Gift Certificate",,"New",,"The Wright Stuff, Inc."
100quanabald,"CJB2547",,"100 questions & answers about Alzheimer's disease, book about Alzheimer's disease, Alzheimer's disease information, Alzheimer's disease guide, for the disabled, handicapped, elderly, seniors,  physically impaired",Yes,,,Yes,"Around the House>Books and Videos","Usually ships the next business day","Alzheimer's Disease Questions & Answers :: informational book.","http://www.wrightstuff.biz/makinglifeeasier/100quanabald.html",,16.95,,"Health & Beauty > Personal Care","100 Questions & Answers About Alzheimer’s Disease gives answers to questions about treatment options, quality of life, caregiving, sources of support. Book provides public & care-providers with information about Alzheimer's disease.","Around the House:Books and Videos",No,"bathingaids bedmoai piandpo readingaids","9780763732547","A diagnosis of Alzheimer’s disease can be heartbreaking news. Whether you’re newly diagnosed with Alzheimer’s disease or are a friend or relative of someone with Alzheimer’s, this book offers help. 

The only text to provide a doctor’s and patient’s view, <b>100 Questions & Answers About Alzheimer’s Disease</b> gives you authoritative, practical answers to your questions about treatment options, quality of life, caregiving, sources of support, and much more. Written by two prominent neurologists specializing in treatment of Alzheimer’s disease and other dementias, this book is an invaluable resource for anyone coping with the physical and emotional turmoil of this frightening disease. 

""This easy-to-read book provides the public and care-providers with the latest scientific and practical information about Alzheimer's disease. It is evidence-based and comprehensive, yet easy to read. It will be a great book to the millions of patients and families who are dealing with this growing medical problem."" -- Steven H. Ferris, PhD, Director, Alzheimer's Disease Center, New York University School of Medicine 

""Drs. Sadowski and Wisniewski have condensed their expertise into an accessible guide that will be invaluable to people newly diagnosed with Alzheimer's disease and to their families. For those of us worried about our memory as we age, this provides an authoritative, conversational guide."" --Michael Shelanski, MD, PhD, The Taub Institute for Research on Alzheimer's Disease and the Aging Brain, Columbia University.
<h4> 100 Questions & Answers About Alzheimer's Disease Features:</h4>
<ul>
<li>Gives you authoritative, practical answers to all of your questions.</li>
<li>Provides the public and care-providers with the latest scientific and practical information about Alzheimer's disease.</li>
<li>It is evidence-based and comprehensive, yet easy to read.</li>
<li>An accessible guide that will be invaluable to people newly diagnosed with Alzheimer's disease and to their families.</li>
<li>For those of us worried about our memory as we age, this provides an authoritative, conversational guide.</li>
</ul>
<h4>100 Questions & Answers About Alzheimer's Disease Specifications:</h4>
<ul>
<li>194 pages filled with all the answers.</li>
<li>Includes an appendix, index, and glossary.</li>
</ul>","0763732540","100 Questions & Answers About Alzheimer's Disease","The only text to provide a doctor’s and patient’s view.","New",,"The Wright Stuff, Inc."
100quanabar,"AJB0511",,"100 questions & answers about arthritis, book about arthritis, arthritis information, arthritis disease guide, for the disabled, handicapped, elderly, seniors,  physically impaired",Yes,,,Yes,"Around the House>Books and Videos","Usually ships the next business day","Questions & Answers About Arthritis :: informational book.","http://www.wrightstuff.biz/makinglifeeasier/100quanabar.html",,18.95,,"Health & Beauty > Personal Care","100 Questions & Answers About Arthritis book provides answers to questions asked by arthritis patients, including diagnosis, underlying causes, treatment options & sources of support. Book provides public & care-providers with information about Arthritis.","Around the House:Books and Videos",No,"bathingaids bedmoai piandpo readingaids","9780763740511","This book provides authoritative, practical answers to 100 of the most common questions asked by arthritis patients, including diagnosis, underlying causes, treatment options, sources of support, and much more. 

More than 2 million Americans suffer from rheumatoid arthritis. Whether you've been diagnosed with rheumatoid arthritis or care for someone with this disease, <b>100 Questions & Answers About Arthritis</b>, offers help. 

Concise, easy-to-read paperback book. 

The question and answer format mimics an actual physician consultation. 

Provides both the patient's and physician's perspective on rheumatoid arthritis. Provides practical answers to questions about diagnosis, underlying causes, treatment options, sources of support, and much more. 
<h4>100 Questions & Answers About Arthritis Features:</h4>
<ul>
<li>This book provides authoritative, practical answers to the most common questions asked by arthritis patients.</li>
<li>Format mimics an actual physician consultation.</li>
<li>Provides both the patient's and physician's perspective on rheumatoid arthritis.</li>
<li>Written by a prominent physician.</li>
</ul>
<h4>100 Questions & Answers About Arthritis Specifications:</h4>
<ul>
<li>199 pages filled with all of your answers.</li>
<li>Includes an index, appendix, and glossary.</li>
</ul>","0763740519","100 Questions & Answers About Arthritis","Answers to 100 of the most common questions asked by arthritis patients.","New",,"The Wright Stuff, Inc."
100quanabosa,"CJB8549",,"100 questions & answers about osteoporosis and osteopenia, book about osteoporosis, book about osteopenia, osteoporosis information, osteopenia information, osteoporosis guide, osteopenia guide, for the disabled, handicapped, elderly, seniors,  physically impaired",Yes,,,Yes,"Around the House>Books and Videos","Usually ships the next business day","Osteoporosis & Osteopenia Questions & Answers :: informational book.","http://www.wrightstuff.biz/makinglifeeasier/100quanabosa.html",,18.95,,"Health & Beauty > Personal Care","100 Questions & Answers About Osteoporosis and Osteopenia gives answers to questions about treatment options, quality of life, caregiving, sources of support. Book provides public & care-providers with information about osteoporosis and osteopenia.","Around the House:Books and Videos",No,"bathingaids bedmoai piandpo readingaids","9780763738549","Approximately ten million Americans have osteoporosis and thirty-four million have osteopenia (low bone mass) and many millions are at risk. Whether you suspect you might have osteoporosis, you recently learned that you have bone loss, or are a friend or relative of someone with osteoporosis or osteopenia, this book offers help for men and women, young or old. 

<b>100 Questions & Answers About Osteoporosis and Osteopenia</b> provides authoritative, practical answers to your questions about treatment options, lifestyle decisions to improve bone health, sources of support, comments from men and women with bone loss, and much more. Written by a nurse practitioner and a nurse, this book is an invaluable resource for anyone coping with the physical and emotional challenges of osteoporosis and related conditions. 

""This book is a comprehensive and up-to-date resource for individuals seeking credible, scientifically accurate information on osteoporosis. It's a very readable and easy-to-understand guide to the prevention and treatment of osteoporosis, and belongs in every home library."" --Cedric X. Bryant, PhD, FACSM Chief Executive Physiologist/VP of Educational Services American Council on Exercise 

""Building strong bones and enhancing bone health must be a lifelong focus for every woman and man. In an easy-to-read format, Ivy Alexander and Karla Knight offer readers comprehensive information on a range of osteoporosis-related topics, from prevention, to recognizing fractures, to treatment options. It is a must-read for all, especially those in mid-life years."" --Amy Niles President and CEO National Women's Health Resource Center.
<h4> 100 Questions & Answers About Osteoporosis and Osteopenia Features:</h4>
<ul>
<li>This book offers help for men and women, young or old.</li> 
<li>This book is a comprehensive and up-to-date resource for individuals seeking accurate information on osteoporosis.</li> 
<li>It's a very readable and easy-to-understand guide to the prevention and treatment of osteoporosis.</li> 
<li>Provides authoritative, practical answers to your questions about treatment options, lifestyle decisions to improve bone health, sources of support, and much more.</li> 
<li>This book is an invaluable resource for anyone coping with the physical and emotional challenges of osteoporosis and related conditions.</li> 
</ul>
<h4> 100 Questions & Answers About Osteoporosis and Osteopenia Specifications:</h4>
<ul>
<li>257 pages filled with the answers to all of your questions.</li> 
<li>Includes an appendix, glossary, and index.</li> 
</ul>","0763738549","100 Questions & Answers About Osteoporosis and Osteopenia","Practical answers to your questions about treatment options.","New",,"The Wright Stuff, Inc."
100quanabstl,"CJB0701",,"100 questions & answers about stroke, book about stroke, stroke information, stroke guide, for the disabled, handicapped, elderly, seniors,  physically impaired",Yes,,,Yes,"Around the House>Books and Videos","Usually ships the next business day","Questions & Answers About Stroke :: informational book.","http://www.wrightstuff.biz/makinglifeeasier/100quanabstl.html",,19.95,,"Health & Beauty > Personal Care","100 Questions & Answers About Stroke book provides answers to questions asked by stroke patients, including diagnosis, underlying causes, treatment options & sources of support. Book provides public & care-providers with information about Strokes.","Around the House:Books and Videos",No,"podetrbe sasupidi15in myselfbelts unelcu","9780763750701","There are 750,000 strokes in the United States each year. Whether you're a newly diagnosed patient or a loved one of someone who has suffered from a stroke, this book offers help. The only text to provide both the doctor's and patient's views, 100 Questions & Answers About Stroke: A Lahey Clinic Guide provides authoritative, practical answers to the most common questions asked by patients and their loved ones. Written by an expert in the field, this clearly-written book is a complete guide to causes, treatments, and much more. Including actual patient commentary, <b>100 Questions & Answers About Stroke</b> is an invaluable resource. 

""The one thing stroke sufferers and their loved ones crave, besides a full recovery, is information. This book anticipates just about anything you could want to know on the subject; it is the quintessential desk reference on stroke.""
Julia Fox Garrison
Stroke Survivor
<h4>100 Questions & Answers About Stroke Features:</h4>
<ul>
<li>Provides authoritative, practical answers to the most common questions asked by patients and their loved ones.</li> 
<li>This book is a complete guide to finding the answers to questions about causes, treatments, and much more.</li> 
</ul>
<h4>100 Questions & Answers About Stroke Specifications:</h4>
<ul>
<li>185 pages filled with the answers to all of your questions.</li> 
<li>Includes an index, glossary, and appendix.</li> 
</ul>","0763750700","100 Questions & Answers About Stroke: A Lahey Clinic Guide","A complete guide to stroke causes, treatments, &  much more.","New",,"The Wright Stuff, Inc."
12-inch-moen-peened-grab-bar,"CMH212",,"12 inch moen peened grab bar, 12 inch grab bar, moen 12 inch grab bar, moen peened 12 inch grab bar, 12 inch ada grab bar, 12 inch moen grab bar secure mount, 12 inch non slip grab bars, for the disabled, handicapped, elderly, seniors, physically impaired",Yes,,,Yes,"Home > Getting Ready > Bathroom Safety Grab Bars > Moen Peened Grab Bars","Usually ships the next business day","12 inch Moen Peened Grab Bar :: non slip bathroom safety grab bar","http://www.wrightstuff.biz/makinglifeeasier/12-inch-moen-peened-grab-bar.html",,19.95,,"Home & Garden > Bathroom Accessories","12 inch Moen Peened Grab Bar features a textured anti slip grip and meets ADA standards for safety. The patented mounting design allows for secure installation of the grab bar into a stud at any angle.  ","Getting Ready:Bathroom Safety Grab Bars:Moen Peened Grab Bars",No,"superbar hieltose raisedtoilet stablerail ","R8712P","The <b>12 inch Moen Peened Grab Bar</b> offers an anti-slip textured grip area which enhances your grip and is ideal for wet hands. These 12 inch stainless steel grab bars are ADA compliant. Moen Securemount™ patented design allows for secure installation of the grab bar into a stud at any angle. Mounting screws are concealed which provides a neat finished look. 
<h4>12 inch Moen Peened Grab Bar Features:</h4>
<ul>
<li>Textured surface aids in gripping.</li>
<li>Patented secure mount design.</li>
<li>ADA compliant.</li>
</ul>
<h4>12 inch Moen Peened Grab Bar Specifications:</h4>
<ul>
<li><b>Made in:</b> USA</li>
<li><b>Length: </b> 12 inches.</li>
<li><b>Bar Diameter:</b> 1 1/4 inches.</li>
<li><b>Distance from wall:</b> 1 1/2 inches.</li>
<li><b>Weight limit capacity:</b> 300 pounds.</li>
</ul>",,"12 inch Moen Peened Grab Bar","Complies with Americans with Disabilities Act (ADA) specifications.","New",,"The Wright Stuff, Inc."
12inakpoadfl,"CAC6500",,"1/2 inch akton polymer adaptive flat pad 20 x 20 inch, action 6500, polymer adaptive flat pad 20 x 20 inch, 1/2 inch adaptive flat pad, action polymer adaptive flat pad 20 x 20 inch, 1/2 inch polymer pad 20 x 20 inch, 1/2 inch action adaptive flat pad 20 x 20 inch, for the disabled, handicapped, elderly, seniors,  physically impaired",Yes,,,Yes," For Your Comfort > Action Polymer Cushions and Pads for Seats and Mattresses > Akton Polymer Smooth Pads","Usually ships the next business day","1/2 inch Akton Polymer Adaptive Flat Pad 20 x 20 inch","http://www.wrightstuff.biz/makinglifeeasier/12inakpoadfl.html",,88.95,,"Health & Beauty > Personal Care","1/2 inch Akton Polymer Adaptive Flat Pad 20 x 20 inch multifunctional use for seating challenges. Pressure relief pad can be cut and used for cushioning arm rests, foot plates, head rests, leg rests, splints or braces.","For Your Comfort:Action Polymer Cushions and Pads for Seats and Mattresses:Akton Polymer Smooth Pads",No,"bedmoai whac cartrai","6500","<b>1/2 inch Akton Polymer Adaptive Flat Pad 20 x 20 inch</b> is 100% smooth <b>Akton Polymer</b>. This pressure relieving pad can be used in a variety of applications for traditional and non-traditional seating challenges. The pad can be cut and used for spot protection on arm rests, foot plates, head rests, leg rests, and splints or braces.
<br><br>
AKTON polymer won't leak, flow, or bottom out, and it is tissue equivalent. It moves with the user, not against them, to reduce pressure and shear, the two leading causes of pressure sores. AKTON polymer is also radiolucent and easy to clean with standard disinfectant. It will not support microbiological growth, and it won't absorb body fluids or odors.
<br><br>
Please note: If the 1/2 inch Akton Polymer Adaptive Flat Pad 20 x 20 inch is used for a seating cushion, the pad must be used with an Action brand cover for warranty to be in force.
<br><br>
This is a non-returnable hygiene item. Shipping via UPS Ground.
<h4> 1/2 inch Akton Polymer Adaptive Flat Pad 20 x 20 inch Features:</h4>
<ul>
<li>Won't leak, flow, or bottom out, and it is tissue equivalent.</li>
<li>Multifunctional applications for traditional and non-traditional seating challenges.</li>
<li>Moves with wheelchair users, not against them, to reduce pressure and shear.</li>
<li>Radiolucent and easy to clean with standard disinfectant.</li>
<li>Will not support microbiological growth, and it won't absorb body fluids or odors.</li>
</ul>
<h4> 1/2 inch Akton Polymer Adaptive Flat Pad 20 x 20 inch Specifications:</h4>
<ul>
<li><b>Measures:</b> 20 inches wide, 20 inches deep, 1/2 inch thick.</li>
<li><b>Material:</b> 100% Akton Polymer.</li>
</ul>",,"1/2 inch Akton Polymer Adaptive Flat Pad 20 x 20 inch","Multifunctional applications for any seating challenge.","New",,"The Wright Stuff, Inc."
12inthheande,"CAC20401",,"action polymer heel and elbow pads 1/2 inch, action heel pad, action elbow pad, 1/2 inch polymer elbow pad, 1/2 inch polymer heel pad,  heel pad 1/2 inch, elbow pad 1/2 inch, action polymer heel pad, action polymer elbow pad, action polymer heel pad 1/2 inch, action polymer elbow pad 1/2 inch, for the disabled, handicapped, elderly, seniors,  physically impaired",Yes,,,Yes,"For Your Comfort>Pillows and Bed Positioning Aids","Usually ships the next business day","Action Polymer Heel & Elbow Pads 1/2 inch","http://www.wrightstuff.biz/makinglifeeasier/12inthheande.html",,89.95,,"Health & Beauty > Personal Care","Action Polymer Heel and Elbow Pads 1/2 inch pad allows clients who are prone to skin tears or abrasions, to continue daily activities or to sleep comfortably. For use on either heels or elbows.","For Your Comfort:Pillows and Bed Positioning Aids:Elbow Pads:Akton Polymer Heel and Elbow Protectors",No,"trmdthskpr reachingaids buandziai transferdisc","111351","<b>Action Polymer Heel and Elbow Pads 1/2 inch</b> is recommended for people at risk or diagnosed with compromised skin disorders. Pad allows clients taking medication that affects skin integrity or persons who are prone to skin tears or abrasions, to continue daily activities or to sleep comfortably. For use on either heels or elbows. Sold as a pair.
<h4>Action Polymer Heel and Elbow Pads 1/2 inch Features:</h4>
<ul>
<li>Contours to shape of elbow or heel.</li>
<li>Won't rub or irritate.</li>
<li>Fits snuggly and comfortably while allowing one to move freely.</li>
</ul>
<h4>Action Polymer Heel and Elbow Pads 1/2 inch Specifications:</h4>
<ul>
<li>Sold as a pair.</li>
</ul>

Non returnable if packaging is opened.",,"Action Polymer Heel and Elbow Pads 1/2 inch","Fits snuggly & comfortably while allowing one to move freely.","New",,"The Wright Stuff, Inc."
14inthheande,"CAC20401A",,"action polymer heel and elbow pads 1/4 inch, action heel pad, action elbow pad, 1/4 inch polymer elbow pad, 1/4 inch polymer heel pad,  heel pad 1/4 inch, elbow pad 1/4 inch, action polymer heel pad, action polymer elbow pad, action polymer heel pad 1/4 inch, action polymer elbow pad 1/4 inch, for the disabled, handicapped, elderly, seniors,  physically impaired",Yes,,,Yes,"For Your Comfort>Pillows and Bed Positioning Aids>Foot and Heel Positioning Aids","Usually ships the next business day","Action Polymer Heel & Elbow Pads 1/4 inch","http://www.wrightstuff.biz/makinglifeeasier/14inthheande.html",,69.95,,"Health & Beauty > Personal Care","Action Polymer Heel and Elbow Pads 1/4 inch pad allows clients who are prone to skin tears or abrasions, to continue daily activities or to sleep comfortably. For use on either heels or elbows.","For Your Comfort:Pillows and Bed Positioning Aids:Foot and Heel Positioning Aids",No,"trmdthskpr reachingaids buandziai transferdisc","111352","<b>Action Polymer Heel and Elbow Pads 1/4 inch</b> is recommended for people at risk or diagnosed with compromised skin disorders. Pad allows clients taking medication that affects skin integrity or persons who are prone to skin tears or abrasions, to continue daily activities or to sleep comfortably. For use on either heels or elbows. Sold as a pair.
<h4>Action Polymer Heel and Elbow Pads 1/4 inch Features:</h4>
<ul>
<li>Contours to shape of elbow or heel.</li>
<li>Won't rub or irritate.</li>
<li>Fits snuggly and comfortably while allowing one to move freely.</li>
</ul>
<h4>Action Polymer Heel and Elbow Pads 1/4 inch Specifications:</h4>
<ul>
<li>Sold as a pair.</li>
</ul>

Non returnable if packaging is opened.",,"Action Polymer Heel and Elbow Pads 1/4 inch","Recommended for people with skin disorders.","New",,"The Wright Stuff, Inc."
15incaho,"AMI3012",,"15 inch Playing Card Holder, playing card holder, for the disabled, handicapped, elderly, seniors,  physically impaired",Yes,,,Yes,"Around the House > Playing Cards and Card Holders > Playing Card Holders","Usually ships the next business day","15 inch Playing Card Holder","http://www.wrightstuff.biz/makinglifeeasier/15incaho.html",,9.95,,"Health & Beauty > Personal Care","People with limited use of their hands will find using this 15 inch Playing Card Holder much easier than trying to hold multiple cards in one hand. 15 inch Playing Card Holder design allows cards to be easily added & removed.","Around the House:Playing Cards and Card Holders:Playing Card Holders",No,"totologasca biglampswitch tturninghandle ersofpe","712520015","People with pain and, or, limited use of their hands will find using this <b>15 inch Playing Card Holder</b> easier than trying to hold multiple cards in one hand. The unique slot design allows cards to be easily added or removed. The extended front of the holder provides a convenient place to keep pencils while playing card games.
<h4>Playing Card Holder 15 inch Features:</h4>
<ul>
<li>People with pain and/or limited use of their hands will find using this holder much easier than trying to hold multiple cards in one hand.</li>
<li>The slot is designed so that cards can be easily added or removed.</li>
<li>Also holds recipes or memos.</li>
<li>Pencils and small coins fit on the extended front of the holder.</li>
</ul>
<h4>Playing Card Holder 15 inch Specifications:</h4>
<ul>
<li>Measures 2 x 1 3/8 x 15"" (5.1 x 3.5 x 38 cm).</li>
</ul>",,"15 inch Playing Card Holder","Easier to hold than multiple cards!","New",,"The Wright Stuff, Inc."
